Episode,Startdatetime,Enddatetime,Runtime,Loss,Move Count,Moves,Path
11,27-07-2023 14:37:15,27-07-2023 16:01:08,83.86666666666666,-316.1220397949219,44,"g1f3,c7c6,h2h3,d7d5,b1a3,c8h3,h1h3,h7h6,h3h5,b8d7,d2d3,a8c8,a3b5,c6b5,b2b3,b7b6,e1d2,b5b4,d2e3,c8b8,a1b1,a7a5,c1b2,b8c8,f3e5,b6b5,c2c3,d8c7,a2a3,b4a3,g2g4,f7f6,b1a1,c7d8,e5d7,e8f7,d7f8,h8h7,e3f4,d8c7,f4e3,g7g5,h5h1,c7f4",./weights/montecarlo/model_weights_at_11.h5
12,27-07-2023 16:12:49,27-07-2023 20:14:12,241.38333333333333,-668.3294677734375,100,"b1c3,d7d6,h2h3,g7g6,c3e4,f7f6,e4c5,f8h6,c5b7,c8f5,g2g3,h6g5,b7a5,f5c8,g1f3,h7h6,a5c6,e8f7,f3e5,f6e5,c6a7,d8e8,f1g2,h6h5,g2f1,c8e6,a7c8,h5h4,d2d3,g5d2,e1d2,c7c6,a2a3,a8a5,h1g1,e6c4,d3d4,e7e6,a3a4,a5c5,g3h4,h8h5,b2b3,b8a6,a4a5,c4b5,g1g3,d6d5,g3d3,a6c7,c1a3,b5c4,d1c1,c4b5,c8a7,h5h6,a3b4,c5c4,a1b1,e8d8,h4h5,d8b8,d3g3,b8f8,b4e7,f7e8,b3b4,e8e7,h5g6,f8g7,g3f3,c7a8,e2e4,c4d4,d2c3,b5f1,c3b2,h6h7,g6h7,f1c4,h7g8b,g7h6,c1f4,d4d2,b1f1,h6h3,b2b1,h3g4,f4h2,e7d6,h2h5,d6e7,b1a1,c4f1,h5e5,d2c2,e5c7,a8c7,f3f8,g4d1",./weights/montecarlo/model_weights_at_12.h5
13,28-07-2023 13:23:11,28-07-2023 17:40:26,257.25,-847.8134765625,129,"g1f3,a7a6,a2a4,a6a5,b1a3,b8a6,f3d4,a6b4,d4c6,b4d3,c2d3,f7f6,c6b8,a8a6,g2g3,g7g6,a1a2,g8h6,a3b5,e8f7,b8c6,b7c6,b5c7,h8g8,d1c2,d7d5,e1d1,f7g7,c2c4,d8e8,c4h4,g8h8,d1e1,h6f7,f2f4,h8g8,b2b4,f7g5,h4g4,g7f7,f4f5,f8h6,e2e4,a6b6,h2h3,c8d7,e4d5,g5h3,g4c4,a5b4,c4c5,h6f8,c5d4,c6c5,c7b5,c5c4,e1d1,e7e5,d1e2,e8c8,f1h3,f7e7,a2b2,c8b7,h3f1,b6a6,b5c3,b7c8,f1g2,b4b3,b2b3,f8h6,d3c4,a6b6,d4d3,h6g5,g3g4,d7c6,h1h5,b6b3,d3c2,e7e8,h5h6,e8d7,h6h5,b3b1,h5h2,c6d5,c3b1,h7h5,d2d3,g5d2,b1c3,h5h4,d3d4,h4h3,g2d5,g8d8,d5g2,g6f5,c1b2,d2e1,b2c1,e1d2,g2f1,d7e8,h2f2,d8d4,c1b2,c8c4,e2f3,c4e2,f1e2,d2e1,e2c4,e8d7,g4g5,d4d3,f3e2,e5e4,g5g6,d3d4,c4b5,d7d8,c2d2,d4d6,b5e8,d6d7,d2d7",./weights/montecarlo/model_weights_at_13.h5
14,28-07-2023 17:40:27,28-07-2023 20:12:07,151.66666666666666,-533.9710693359375,82,"g1h3,g7g6,e2e4,b7b5,a2a4,f8h6,d1g4,c7c6,b2b3,h6d2,c1d2,g8h6,a4a5,a7a6,g4f3,c6c5,b1c3,d8b6,d2e3,g6g5,f1c4,d7d5,c4d5,b6c6,e3c5,c8h3,c5e7,c6g6,f3e3,h6f5,c3b5,f5h4,c2c3,h3e6,c3c4,h4f3,e3f3,g6f6,e7f8,f6f4,f3e3,f4f5,e3d4,f5f4,e1g1,b8c6,d4e3,f7f6,c4c5,f4e5,f1d1,e5b2,b5c3,e6f7,c3b5,b2c3,a1a2,c3a1,g1h1,a8c8,b5c7,e8f8,d1c1,a1c3,e3e2,c3d4,e2b5,d4c4,c1e1,c4b3,b5c4,b3b8,d5f7,c8e8,c4a6,c6a7,f7d5,a7c6,f2f4,b8b1,a6b6,b1e1",./weights/montecarlo/model_weights_at_14.h5
15,29-07-2023 02:11:39,29-07-2023 09:08:50,417.1666666666667,-1516.4896240234375,277,"e2e4,h7h6,f1d3,c7c5,c2c3,d8b6,d3b5,b6d6,d1b3,e8d8,b3c2,d6c6,g1h3,a7a5,g2g3,b7b6,b5e2,e7e6,b1a3,c6a4,a1b1,a8a7,g3g4,a4c2,e2d1,b8c6,h1g1,a7b7,e4e5,c2d1,e1d1,f7f5,d1c2,d7d6,a3c4,c6b8,g1f1,b7c7,c2d1,d8e8,f1g1,f8e7,c4d6,e8d8,g1f1,c7c6,b1a1,a5a4,d6f5,d8e8,f5e7,b8a6,d1e2,a6c7,e7f5,c7a8,h3g5,g7g6,f1d1,c6c7,f5g3,e8d7,g5f7,h6h5,g3h1,h5h4,d2d3,g6g5,a2a3,c5c4,e2e3,c7c6,a1a2,h8h5,d1e1,h4h3,f7h6,h5h6,e1g1,h6h8,d3d4,h8h4,b2b3,c8b7,a2b2,h4g4,e3e2,g4d4,e2f1,b7c8,b2b1,c6d6,c1d2,g8h6,f1e1,d4g4,b1b2,d6c6,b3c4,g4e4,e1d1,e4e5,d1c1,h6g4,b2c2,g4h6,d2f4,e5a5,f4g5,a5f5,g1g3,c6d6,c1b1,f5f4,g3h3,f4c4,g5d8,h6g4,c2e2,d7e8,e2c2,b6b5,d8h4,c4b4,a3b4,c8a6,c2d2,d6b6,d2a2,g4f2,b1c2,f2d1,h4e7,d1b2,h3h7,a6b7,e7h4,b7h1,h7a7,h1e4,c2c1,b2d3,c1d1,d3f2,a2f2,b6a6,f2g2,a8c7,h4g5,e4f5,g2b2,f5h7,h2h3,a6b6,g5h6,h7g8,b2b3,e8d7,h6g7,b6a6,a7a8,d7e7,b3b2,a6a7,b2d2,c7a8,d2a2,a8b6,a2d2,a7a5,d2g2,e7e8,g7h8,b6c8,g2h2,e8f7,h2g2,f7e8,g2g7,e6e5,g7e7,e8d8,d1d2,a5a7,e7g7,g8d5,g7d7,d8d7,d2d1,a7b7,h8g7,d5e6,g7h6,b7b6,d1e1,e6f5,h3h4,d7c6,c3c4,f5b1,e1d2,c8e7,h6f8,c6d7,d2e3,b5c4,f8e7,d7e6,e7c5,b1h7,c5f8,e6d5,f8d6,d5d6,e3e2,d6e7,e2f3,c4c3,h4h5,b6b8,f3e3,e7f7,h5h6,h7d3,e3d3,b8h8,d3c3,h8a8,c3c4,a4a3,c4d3,a8a6,d3e3,f7f8,e3d2,f8g8,d2c3,a6g6,b4b5,g6g4,b5b6,g4g1,c3b3,g1h1,b3c4,h1b1,c4d3,b1c1,d3d2,c1c3,d2c3,g8f7,c3b3,f7f6,b3c2,f6f5,c2c1,f5f6,c1d1,f6f5,d1e1,f5e6,e1f2,e6d6,f2e1,d6e6,b6b7,e6f7,b7b8r,e5e4,b8b5,f7e6,b5b1,e6f5,h6h7,f5g4,h7h8q",./weights/montecarlo/model_weights_at_15.h5
16,30-07-2023 03:01:04,30-07-2023 03:44:49,43.73333333333333,-132.8411865234375,19,"a2a4,b7b6,g1f3,a7a5,f3h4,f7f6,c2c3,c8a6,h4f3,h7h6,f3h4,g7g6,a1a3,b8c6,b2b4,a8b8,d1c2,b8c8,c2g6",./weights/montecarlo/model_weights_at_16.h5
17,30-07-2023 03:44:49,30-07-2023 06:45:12,180.36666666666667,-588.6931762695312,77,"e2e3,b8a6,f1c4,d7d5,e3e4,f7f6,e4e5,c8f5,a2a3,f6e5,d2d4,c7c5,e1f1,f5g4,d1d2,g4e2,f1e1,e8d7,h2h3,d7e8,b2b4,e2d1,c2c3,e5e4,d2g5,e7e5,e1d1,h7h5,h1h2,d8d6,g1f3,a6b4,c4e2,g7g6,g5h5,d6e6,f3g1,a7a6,h3h4,g8f6,e2a6,a8a7,h5h6,h8h7,f2f3,b4a6,f3f4,f8e7,b1d2,a6b4,a1b1,e4e3,g2g4,e7d8,d2c4,d8a5,b1a1,a5d8,g4g5,d8a5,f4f5,g6f5,h4h5,b7b6,g5g6,c5d4,h2c2,b6b5,c2f2,a7c7,h6h7,f5f4,a1b1,e8f8,g6g7,f8f7,g7g8q",./weights/montecarlo/model_weights_at_17.h5
18,30-07-2023 15:32:30,30-07-2023 17:43:35,131.06666666666666,-373.51959228515625,54,"g1f3,g8h6,b1a3,b8c6,g2g3,h6g4,f3e5,c6b4,e5g6,b4a2,g6e5,g4h2,e5f7,a2c1,f7g5,c1d3,c2d3,a7a6,d1b1,h7h6,f1g2,b7b6,b2b4,c7c5,b1c2,b6b5,e2e4,e7e6,g2f1,a8a7,c2a2,d8e7,a1b1,a7c7,g5h3,e8f7,a2b2,e7e8,b2b3,c7b7,b3c3,f7g6,c3b3,g6f6,e1e2,g7g6,b3a2,g6g5,h3f4,e8h5,f2f3,f8e7,e2e3,h5f3",./weights/montecarlo/model_weights_at_18.h5
19,30-07-2023 17:50:02,30-07-2023 17:58:16,8.233333333333333,-23.67728042602539,4,"g2g4,e7e5,f2f3,d8h4",./weights/montecarlo/model_weights_at_19.h5
20,01-08-2023 14:53:42,01-08-2023 18:14:18,200.5833333333333,-645.8032836914062,88,"e2e3,b7b6,e3e4,b8c6,d1f3,e7e5,f3h5,c8a6,h5f5,d8e7,f5f7,e7f7,h2h3,f7d5,b1a3,a6c8,g1f3,d5b5,f3e5,d7d5,e5c6,f8b4,f1c4,b5c5,c4a6,c8a6,g2g4,a6c8,c6b8,c5b5,a1b1,c8e6,g4g5,b5a4,e1f1,a7a5,b8a6,b4c5,f2f4,c5e3,a6b8,c7c6,h1g1,e8d8,d2e3,g7g6,b2b3,a4b4,f1f2,a8a6,g1g3,b4d6,b8d7,h7h5,g3g1,a6a7,f2f1,e6g4,f1f2,d8c8,d7e5,a7h7,e5f3,a5a4,f4f5,g4h3,b1a1,h5h4,f5f6,b6b5,a3b5,h3f1,b5c7,d6e5,f3d2,e5g3,g1g3,f1d3,c7d5,h4g3,f2g1,c6c5,a2a3,h7h6,d5c7,d3f1,c2c3,h6h1",./weights/montecarlo/model_weights_at_20.h5
21,01-08-2023 18:48:16,01-08-2023 22:33:53,225.61666666666667,-685.5742797851562,98,"h2h3,g8h6,d2d4,g7g6,b2b3,b8c6,b1a3,h6g8,a3c4,c6d4,a1b1,d7d5,e2e4,c7c5,c4d2,a7a5,f1d3,d4e6,h3h4,e6g5,c1b2,g5h3,d1g4,d8d7,b1d1,f8h6,d2c4,d7d6,h1h2,h6c1,g4f5,d6f4,h2h1,f4f5,f2f3,f5g5,b2a3,h7h6,h1h2,h8h7,g2g3,h3g1,b3b4,c1b2,d1d2,g1h3,c4e3,g5f5,h2e2,f5f4,e3g4,b2e5,b4c5,f7f5,g4h6,h3g1,d3c4,f4g4,e2e3,e5d6,e3d3,c8d7,d2f2,d7b5,c2c3,d6g3,a3b2,h7h6,c5c6,g4e4,e1f1,e7e5,f2c2,e4e1,f1g2,b5c4,c6c7,e1c3,g2h1,c3d2,d3a3,c4a6,a3c3,h6h5,b2c1,g8e7,f3f4,a6d3,c7c8q,e8f7,c8e6,f7f8,e6a6,g1f3,a6a8,f8g7,a8a7,h5h4",./weights/montecarlo/model_weights_at_21.h5
22,01-08-2023 23:52:12,02-08-2023 00:08:24,16.2,-54.25276565551758,7,"e2e3,d7d5,d1g4,d8d6,f1a6,d6e5,g4c8",./weights/montecarlo/model_weights_at_22.h5
23,02-08-2023 00:08:24,02-08-2023 04:10:55,242.5,-863.5772705078125,115,"g2g3,b8a6,a2a3,e7e6,h2h4,h7h6,f2f3,d7d6,h1h3,d8f6,h4h5,f6b2,f1g2,b2f6,a1a2,h8h7,b1c3,f6e7,a2b2,h7h8,h3h1,a6b8,c3a4,c7c6,b2a2,b7b5,a4c3,c8a6,g1h3,e7c7,c3b1,c7b7,e1f2,e8e7,h1f1,g8f6,h3g1,g7g5,d2d4,b7c8,g3g4,e7e8,b1d2,f8e7,a2b2,e7d8,d1e1,h8g8,f2e3,g8g6,e1g3,f6g8,b2b3,c8c7,d2b1,c6c5,c2c4,b5b4,c1d2,f7f5,g3f2,c7f7,d2c3,f5g4,h5g6,f7g7,f2e1,g7d7,f3f4,a6b5,b1d2,g4g3,d4d5,h6h5,d2e4,b4c3,e4f2,b8a6,e1c1,b5a4,b3b4,d8b6,e3f3,e8d8,f2d1,d7c7,b4b2,c7g7,c1c2,g5f4,c2c3,g7h7,b2b3,d8e7,g6h7,b6d8,h7h8q,a6b8,b3b5,a4b5,f1e1,g8f6,h8h5,b5a4,h5g6,a7a5,g1h3,e7f8,c3d2,d8e7,d2d3,b8a6,g6f6,f8g8,d3g6",./weights/montecarlo/model_weights_at_23.h5
